fund_id,denominacao_social,classe_anbima_raw,nivel1,nivel2_acoes
00000684000121,DEUTSCHE BANK FDO APLIC QUOTAS FDO INV FINANCEIRO - MAX,,Outros,
00000731000137,ITAMARITI CASH FUNDO APLICACAO QUOTAS FDOS INVESTIMENTO,,Outros,
00000732000181,FUNDO APLIC. QUOTAS DE F.I. SANTANDER CURTO PRAZO,,Outros,
00000740000128,FUNDO DE APLIC EM QUOTAS DE FUNDOS DE INV BMC 60 DIAS URV,,Outros,
00000749000139,BALANCE FUNDO APLICACAO QUOTAS FUNDO INVESTIMENTO FINANCEIRO,,Outros,
00000759000174,F APLIC QUOTAS FDO INV FIN RENDA FIXA CASH BANDEIRANTES 60,,Outros,
00000765000121,FDO. APLIC. QUOTAS FDO.INVEST.FINANC.BCOCIDADE RENDA FIXA CP,,Outros,
00016903000160,PERSONNALITE SPR CURTO PRAZO FDO APLIC QUOTAS FDO INV FINANC,,Outros,
00016959000115,FUNDO DE APLIC EM QUOTAS DE FUNDOS DE INV BMC 60 DIAS MASTER,,Outros,
00016979000196,VGB FDO APLICACAO QUOTAS FUNDOS INVESTIMENTO CURTO PRAZO,,Outros,
00016997000178,FAQ DE FIF BOSTONCASH,,Outros,
00056898000110,BMG VIP-FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVEST.,,Outros,
00063893000114,BANDEPE FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO FORTUNE DI,,Outros,
00066032000190,FUNDO DE APLICACAO EM QFI UNIBANCO FAU N 60,,Outros,
00067875000100,FAQFI HSBC CURTO PRAZO RENDA FIXA OVER - DIARIO,,Outros,
00067956000100,CREDIREAL FUNDO APLICACAO COTAS FUNDOS INVESTIMENTOS-FIX-60,,Outros,
00074281000127,PARANA TRADER FDO DE APLIC EM QUOTAS DE FDOS DE INVESTIMENTO,,Outros,
00078752000175,PROGRESSO FRC-FUNDO DE APLICACAO EM COTAS DE FUNDO INVEST.,,Outros,
00079645000161,AMARIL FRANKLIN FUNDO DE APL. EM QUOTAS F. INVESTIMENTO - CP,,Outros,
00080490000183,ATICO LIQUIDEZ FDO DE APLIC. DE COTAS DE FUNDOS DE INV. - CP,,Outros,
00082562000121,FUNDO PICCHIONI DE APLICACAO EM QUOTAS F. DE INVESTIMENTO-CP,,Outros,
00094294000168,FUNDO DIAMOND APLICACAO EM QUOTAS DE FUNDOS DE INVESTIMENTO,,Outros,
00103644000105,UNIBANCO YIELD FUND FUNDO DE APLIC. EM QUOTAS DE F.I.,,Outros,
00105664000115,BANFORT TRES FUNDO APLICACAO QUOTAS FUNDOS DE INV 60 DIAS,,Outros,
00116887000188,PROVIDE FUNDO APLICACAO QUOTAS FDOS INVESTIMENTO FINANCEIRO,,Outros,
00121892000189,FUNDO INTER-ATLANTICO DE APLICACAO EM QUOTAS FDO DE INVEST,,Outros,
00134151000132,BIA FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO,,Outros,
00140648000163,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS CIII,,Outros,
00187000000142,FUNDO CENTRO HISPANO DE APLICACAO EM QUOTAS DE INV FIN CP,,Outros,
00195000000194,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC XX,,Outros,
00195003000128,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XXI,,Outros,
00198528000117,CITI DI PLUS FDO APLIC QUOTAS FDO INVESTIMENTO FINANCEIRO,,Outros,
00207132000199,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XII,,Outros,
00211290000112,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC III,,Outros,
00211293000156,FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVEST HSBC XI,,Outros,
00211603000132,PROGRESSO FCI-FUNDO DE APLICACAO EM COTAS FUNDO INVESTIMENTO,,Outros,
00212334000129,IP GAP ABSOLUTO FDO APLIC QUOTAS DE FIF,,Outros,
00229279000180,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XVI,,Outros,
00246557000107,FAQ DE FIF BOSTON FIX II,,Outros,
00254244000109,FONTECINDAM NEUTRO FUNDO DE APLIC. EM QUOTAS DE FIF,,Outros,
00254310000132,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST RENDA FIXA - FEB,,Outros,
00254311000187,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS LXXIX,,Outros,
00254313000176,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS LXXIV,,Outros,
00271116000165,FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVESTIMENTO HSBC RENDA FIXA 60 - DIARIO,,Outros,
00287228000104,CHASE INSTITUCIONAL FUNDO APLICACAO QUOTAS FUNDO INV FINANC,,Outros,
00290170000158,FDO DE APLIC EM QUOTAS DE FDOS DE INV HSBC MASTER DI DIARIO,,Outros,
00290173000191,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC LXXVIII,,Outros,
00290176000125,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC XIX,,Outros,
00293883000175,BANFORT CINCO FUNDO DE APLICACAO QUOTAS FUNDOS INV 60 DIAS,,Outros,
00293901000119,BANFORT DOIS FUNDO DE APLICACAO QUOTAS FUNDOS DE INV 60 DIAS,,Outros,
00305907000169,BOZANO SIMONSEN PORTFOLIO FDO DE APLIC.EM COTAS DE FIF,,Outros,
00306269000109,FDO DE APLIC EM QUOTAS DE FDOS DE INV HSBC MIX PLUS,,Outros,
00306271000170,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC XXV,,Outros,
00306276000100,FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVEST HSBC XIV,,Outros,
00306280000160,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS I,,Outros,
00306559000144,PROSPER PRIVATE DI FAQ FUNDO DE APLICA. EM QUOTAS DE FIF,,Outros,
00310085000104,FDO. APLIC. QUOTAS FDO.INVEST. FINANC. BANCOCIDADE CORPORATE,,Outros,
00320140000147,FUNDO LAVRA SEGMENTO META DE APLIC QUOTAS FUNDOS INV 60,,Outros,
00322696000172,FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVESTIMENTO HSBC DI PLUS,,Outros,
00322697000117,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS LXXX,,Outros,
00322703000136,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XXIV,,Outros,
00334639000103,CITIPENSION I FDO DE APL EM QUOTAS DE FUNDO DE INVESTIMENTO,,Outros,
00345853000165,PARAISO FDO APLIC QUOTAS FDO INV FINANCEIRO,,Outros,
00356877000110,FAC DE FIF INTER AMERICAN EXPRESS PRIVATE,,Outros,
00356883000177,FAC DE FIF INTER AMERICAN EXPRESS PERFORMANCE,,Outros,
00358851000100,CITICAMBIAL FUNDO DE APLICACAO EM QUOTAS DE FDO DE INVEST,,Outros,
00363289000103,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS LXXXI,,Outros,
00363340000187,PERSONNALITE DERIVATIVOS FDO APLIC COTAS FDO INV FIN,,Outros,
00369890000103,FUNDO DE APLIC EM QUOTAS DE FUNDO INV PARANA DE DERIVATIVOS,,Outros,
00381141000100,SUL AMERICA RENDIMENTUM MASTER DI FUNDO DE INVESTIMENTO FINANCEIRO,,Outros,
00387733000120,ITAU TRUST FIC DI - FDO APLIC QUOTAS FDO INVESTIMENTO,,Outros,
00395453000164,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS CII,,Outros,
00395455000153,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS CV,,Outros,
00395457000142,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST HSBC LXXV,,Outros,
00401597000186,ICATU INII FDO DE APLICACAO EM QUOTAS DE FDO INV.FINANC.,,Outros,
00403805000186,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XVII,,Outros,
00405244000154,FUNDO DE APLICACAO EM QUOTAS DE FDO INVEST UNIBANCO FAF N 60,,Outros,
00415245000180,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XXVI,,Outros,
00436302000107,LLOYDS CASH FUNDO DE APLICACOES EM QUOTAS DE FUNDOS INV,,Outros,
00454409000188,GARANTIA PORTFOLIO FDO APLICACAO QUOTAS FDO INV FINANCEIRO,,Outros,
00474174000196,CITI INSTITUCIONAL FDO APLICACAO QUOTAS FDO INV FINANCEIRO,,Outros,
00474596000161,CHASE SERRAMBI FDO APLIC QUOTAS FDO INV FINANCEIRO,,Outros,
00532191000132,FUNDO DE APLICACAO EM QUOTAS DE FUNDOS DE INVESTIMENTO HSBC XXXV,,Outros,
00555307000159,FDO DE APLIC EM QUOTAS DE FDOS DE INVEST BAMERINDUS XXXVIII,,Outros,
00567463000130,FDO DE APLIC. EM QUOTAS DE FDO DE INVEST PACTUAL YIELD N,,Outros,
00576320000194,FUNDO DE APLIC EM QUOTAS FDOS INVEST BBA CAPITAL DI PLUS,,Outros,
00588693000185,PLUS LI FUNDO DE APLIC. EM QUOTAS DE FDOS. DE INVESTIMENTO,,Outros,
00589169000129,FAQ DE FIF BOSTON PRIVATE CREDIT MIX,,Outros,
00600216000198,ITAU LAM TRADER - FDO DE APL EM COTAS DE FDOS DE INVESTIMENT,,Outros,
