Periodo,Data,Ano,Mes,Trimestre,Edicao
202307,2023-07-01,2023,7,2023-Q3,2023-07-01 00:00:00
202308,2023-08-01,2023,8,2023-Q3,2023-08-01 00:00:00
202309,2023-09-01,2023,9,2023-Q3,2023-09-01 00:00:00
202310,2023-10-01,2023,10,2023-Q4,2023-10-01 00:00:00
202311,2023-11-01,2023,11,2023-Q4,2023-11-01 00:00:00
202312,2023-12-01,2023,12,2023-Q4,2023-12-01 00:00:00
202401,2024-01-01,2024,1,2024-Q1,2024-01-01 00:00:00
202402,2024-02-01,2024,2,2024-Q1,2024-02-01 00:00:00
202403,2024-03-01,2024,3,2024-Q1,2024-03-01 00:00:00
202404,2024-04-01,2024,4,2024-Q2,2024-04-01 00:00:00
202405,2024-05-01,2024,5,2024-Q2,2024-05-01 00:00:00
202406,2024-06-01,2024,6,2024-Q2,2024-06-01 00:00:00
202407,2024-07-01,2024,7,2024-Q3,2024-07-01 00:00:00
202408,2024-08-01,2024,8,2024-Q3,2024-08-01 00:00:00
202409,2024-09-01,2024,9,2024-Q3,2024-09-01 00:00:00
202410,2024-10-01,2024,10,2024-Q4,2024-10-01 00:00:00
202411,2024-11-01,2024,11,2024-Q4,2024-11-01 00:00:00
202412,2024-12-01,2024,12,2024-Q4,2024-12-01 00:00:00
202501,2025-01-01,2025,1,2025-Q1,2025-01-01 00:00:00
202502,2025-02-01,2025,2,2025-Q1,2025-02-01 00:00:00
202503,2025-03-01,2025,3,2025-Q1,2025-03-01 00:00:00
202504,2025-04-01,2025,4,2025-Q2,2025-04-01 00:00:00
202505,2025-05-01,2025,5,2025-Q2,2025-05-01 00:00:00
202506,2025-06-01,2025,6,2025-Q2,2025-06-01 00:00:00
202507,2025-07-01,2025,7,2025-Q3,2025-07-01 00:00:00
202508,2025-08-01,2025,8,2025-Q3,2025-08-01 00:00:00
202509,2025-09-01,2025,9,2025-Q3,2025-09-01 00:00:00
202510,2025-10-01,2025,10,2025-Q4,2025-10-01 00:00:00
202511,2025-11-01,2025,11,2025-Q4,2025-11-01 00:00:00
202512,2025-12-01,2025,12,2025-Q4,2025-12-01 00:00:00
202601,2026-01-01,2026,1,2026-Q1,2026-01-01 00:00:00
202602,2026-02-01,2026,2,2026-Q1,2026-02-01 00:00:00
202603,2026-03-01,2026,3,2026-Q1,2026-03-01 00:00:00
202604,2026-04-01,2026,4,2026-Q2,2026-04-01 00:00:00
202605,2026-05-01,2026,5,2026-Q2,2026-05-01 00:00:00
202606,2026-06-01,2026,6,2026-Q2,2026-06-01 00:00:00
